Time,Channel A,Channel B
(ms),(V),(V)

10.99372132,-1.22211400,5.37400400
11.01420132,-1.26743400,5.46433900
11.03468132,-1.26743400,5.46433900
11.05516132,-1.31260100,5.46433900
11.07564132,-1.31260100,5.46433900
11.09612132,-1.35792100,5.55436800
11.11660132,-1.35792100,5.46433900
11.13708132,-1.40308800,5.55436800
11.15756132,-1.44840800,5.55436800
11.17804132,-1.44840800,5.64470300
11.19852132,-1.44840800,5.64470300
11.21900132,-1.49357600,5.64470300
11.23948132,-1.49357600,5.64470300
11.25996132,-1.53889600,5.64470300
11.28044132,-1.53889600,5.64470300
11.30092132,-1.58406300,5.64470300
11.32140132,-1.58406300,5.73503800
11.34188132,-1.62938300,5.82506800
11.36236132,-1.62938300,5.82506800
11.38284132,-1.67470300,5.82506800
11.40332132,-1.71987100,5.82506800
11.42380132,-1.71987100,5.82506800
11.44428132,-1.76519100,5.82506800
11.46476132,-1.76519100,5.91540300
11.48524132,-1.81035800,5.91540300
11.50572132,-1.81035800,5.91540300
11.52620132,-1.85567800,5.91540300
11.54668132,-1.90084500,5.91540300
11.56716132,-1.90084500,5.91540300
11.58764132,-1.94616500,5.91540300
11.60812132,-1.94616500,6.00573700
11.62860132,-1.94616500,6.00573700
11.64908132,-1.99148500,5.91540300
11.66956132,-1.99148500,5.91540300
11.69004132,-2.03665300,5.91540300
11.71052132,-2.03665300,6.00573700
11.73100132,-2.08197300,5.91540300
11.75148132,-2.08197300,5.91540300
11.77196132,-2.12714000,5.91540300
11.79244132,-2.12714000,5.91540300
11.81292132,-2.17246000,5.91540300
11.83340132,-2.17246000,5.91540300
11.85388132,-2.21762800,5.91540300
11.87436132,-2.21762800,5.91540300
11.89484132,-2.26294800,5.91540300
11.91532132,-2.26294800,5.91540300
11.93580132,-2.30811500,5.91540300
11.95628132,-2.30811500,5.91540300
11.97676132,-2.35343500,5.91540300
11.99724132,-2.35343500,5.91540300
12.01772132,-2.35343500,5.91540300
12.03820132,-2.39875500,5.91540300
12.05868132,-2.39875500,5.91540300
12.07916132,-2.44392200,5.91540300
12.09964132,-2.44392200,5.91540300
12.12012132,-2.48924200,5.91540300
12.14060131,-2.48924200,5.91540300
12.16108131,-2.53441000,5.91540300
12.18156131,-2.53441000,5.91540300
12.20204131,-2.53441000,5.91540300
12.22252131,-2.57973000,5.91540300
12.24300131,-2.57973000,5.91540300
12.26348131,-2.57973000,6.00573700
12.28396131,-2.67021700,5.91540300
12.30444131,-2.67021700,6.00573700
12.32492131,-2.67021700,6.00573700
12.34540131,-2.71553700,6.00573700
12.36588131,-2.71553700,6.00573700
12.38636131,-2.71553700,6.00573700
12.40684131,-2.76070400,6.00573700
12.42732131,-2.76070400,6.00573700
12.44780131,-2.76070400,6.00573700
12.46828131,-2.80602400,6.00573700
12.48876131,-2.80602400,6.00573700
12.50924131,-2.85119200,6.00573700
12.52972131,-2.85119200,6.09576700
12.55020131,-2.89651200,6.09576700
12.57068131,-2.89651200,6.09576700
12.59116131,-2.89651200,6.09576700
12.61164131,-2.94167900,6.09576700
12.63212131,-2.94167900,6.09576700
12.65260131,-2.98699900,6.18610200
12.67308131,-2.98699900,6.09576700
12.69356131,-2.98699900,6.18610200
12.71404131,-3.03216600,6.18610200
12.73452131,-3.03216600,6.18610200
